,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
52748,Chhattisgarh,KOREA,2002,Whole Year ,Tobacco,1.0,2.225
52771,Chhattisgarh,KOREA,2003,Rabi       ,Safflower,1.0,1.0
52802,Chhattisgarh,KOREA,2004,Rabi       ,Moong(Green Gram),1.0,0.2
52803,Chhattisgarh,KOREA,2004,Rabi       ,Other  Rabi pulses,67.0,33.95
52825,Chhattisgarh,KOREA,2005,Kharif     ,Other Kharif pulses,195.0,55.7
52836,Chhattisgarh,KOREA,2005,Rabi       ,Other  Rabi pulses,223.0,79.4
52858,Chhattisgarh,KOREA,2006,Kharif     ,Other Kharif pulses,147.0,58.2
52859,Chhattisgarh,KOREA,2006,Kharif     ,Ragi,1.0,0.2
52870,Chhattisgarh,KOREA,2006,Rabi       ,Other  Rabi pulses,71.0,29.866666666666667
52891,Chhattisgarh,KOREA,2007,Kharif     ,Other Kharif pulses,346.0,102.52857142857142
52903,Chhattisgarh,KOREA,2007,Rabi       ,Other  Rabi pulses,205.0,17.8
52924,Chhattisgarh,KOREA,2008,Kharif     ,Other Kharif pulses,330.0,84.3
52930,Chhattisgarh,KOREA,2008,Kharif     ,Sunflower,1.0,1.0
52937,Chhattisgarh,KOREA,2008,Rabi       ,Other  Rabi pulses,68.0,37.11666666666667
52958,Chhattisgarh,KOREA,2009,Kharif     ,Other Kharif pulses,132.0,44.2
52959,Chhattisgarh,KOREA,2009,Kharif     ,Ragi,3.0,1.0
52964,Chhattisgarh,KOREA,2009,Kharif     ,Sunflower,1.0,1.0
52971,Chhattisgarh,KOREA,2009,Rabi       ,Moong(Green Gram),3.0,1.0
